Protein1	Protein2	Score1	Score2	Score3	Score4	Score5	Mean_Score
AT2G21850	TuMV_NIb	0.01908793	0.02113462	0.016858708	0.0029700084	0.01768018	0.015546289
AT5G04933	TuMV_CI	0.0036649427	0.0013730198	0.0046038413	0.002857894	0.0012309597	0.0027461315
AT5G52160	TuMV_P3	0.0017829421	0.0017593262	0.00064990786	0.0019944117	0.0023487469	0.001707067
AT1G48725	TuMV_CI	0.0028348714	0.0011882988	0.0015077522	0.0014983603	0.0012561776	0.001657092
AT5G48040	TEV_P3N-PIPO	0.00027962384	0.00038803375	0.0004881849	0.00021584175	0.0002166182	0.00031766048
AT5G35430	TuMV_6K1	0.00053815794	0.00045984084	0.0004193108	0.00068942725	0.00035621662	0.0004925907
AT2G23060	TEV_VPg	0.0013949502	0.004670351	0.0023579875	0.0042922716	0.003982332	0.0033395782
AT5G40690	TEV_VPg	0.001111476	0.0007325114	0.00066004193	0.0009325271	0.0012084064	0.0009289926
AT5G04430	TEV_P3N-PIPO	0.00097135536	0.0010752621	0.0007771242	0.0006514026	0.0011134768	0.0009177242
AT1G28210	CMV_P03605	0.007263995	0.0036938654	0.0061161052	0.0032836085	0.0020002953	0.004471574
AT1G48850	TuMV_P3	0.0035455446	0.0013942821	0.001101267	0.0018335495	0.0027118525	0.0021172992
AT1G24340	TEV_VPg	0.0035100554	0.0023777345	0.0018413767	0.0011941026	0.0021410782	0.0022128695
AT1G77885	TuMV_6K1	0.0006775199	0.00033914624	0.00042538307	0.00039265107	0.0003789147	0.000442723
AT1G04610	TEV_NIa-Pro	0.011597837	0.012395577	0.01941984	0.003480519	0.008383823	0.011055519
AT5G14760	TuMV_NIb	0.090228826	0.11728553	0.32848164	0.17259772	0.23269035	0.1882568
AT2G37070	CMV_P06012	0.0060061286	0.006564072	0.006793068	0.0041070166	0.0035980789	0.005413673
AT3G44770	RSV_P68559	0.00029605278	0.0007565861	0.00024834514	0.0004928882	0.00032994663	0.0004247638
AT1G79890	TEV_P3N-PIPO	0.000522411	0.00035690886	0.00020463215	0.00033567447	0.0002712839	0.0003381821
AT3G62970	TuMV_P3	0.001253165	0.001556416	0.0011429715	0.00067581615	0.00091611734	0.0011088972
AT1G47970	CaMV_P03555	0.022400925	0.010329726	0.0025128222	0.009690984	0.022141533	0.013415198
AT5G12990	TEV_NIa-Pro	0.0014255389	0.0018897293	0.00081529963	0.0010397497	0.0013119995	0.0012964634
AT2G39780	TuMV_CI	0.25995103	0.056727625	0.06566513	0.015839146	0.1250945	0.10465548
AT1G13920	CabLCV_Q96702	0.00023622769	0.00026481994	0.00023930598	0.00025667463	0.00028480915	0.00025636746
AT2G32835	CabLCV_Q96706	0.002550898	0.0026164514	0.0036326058	0.0053119985	0.0059235813	0.004007107
AT4G22890	TEV_VPg	0.19348252	0.4499454	0.15367103	0.36186418	0.4516554	0.3221237
AT1G48760	CabLCV_Q96707	0.011543287	0.011197037	0.03039438	0.004392739	0.011718634	0.013849216
AT1G09010	TGMV_P03562	0.0046376353	0.009695767	0.014099435	0.01452043	0.0062245154	0.009835557
ATCG00130	TEV_VPg	0.049370762	0.041003678	0.023351314	0.030742072	0.1436386	0.05762129
AT3G26710	CabLCV_Q96707	0.5779895	0.82842094	0.022736806	0.1325105	0.8298226	0.4782961
AT1G31670	CabLCV_Q96707	0.01702913	0.026184335	0.044542164	0.027665453	0.047364883	0.032557193
AT4G38270	CabLCV_Q96706	0.19370428	0.10891223	0.093333244	0.69999635	0.16372375	0.25193396
AT3G03341	TuMV_6K1	0.001383566	0.00053142075	0.00083089963	0.0010025196	0.0005467552	0.0008590322
AT1G08380	TEV_VPg	0.020731216	0.06914318	0.013558036	0.013360974	0.014473799	0.026253443
AT2G30400	TuMV_CI	0.0027419534	0.0032675597	0.00326218	0.004092203	0.0032951087	0.003331801
AT3G13040	TuMV_CP	0.0047114505	0.0017084252	0.009675117	0.014172552	0.0034284517	0.006739199
AT3G26000	TEV_NIa-Pro	0.0072167064	0.02740938	0.02139453	0.011093593	0.0012616124	0.013675165
AT1G17850	CabLCV_Q96707	0.056592863	0.018315813	0.0178846	0.016571281	0.028065396	0.02748599
AT4G02770	TEV_NIa-Pro	0.30416536	0.2622023	0.2868221	0.458364	0.22571108	0.30745298
AT1G31220	TEV_VPg	0.034060992	0.035967734	0.073887855	0.08462741	0.045918744	0.054892547
AT1G28305	TEV_NIa-Pro	0.035592955	0.028167786	0.02552646	0.01536817	0.012774188	0.023485914
AT1G68750	TEV_VPg	0.0062943473	0.02017599	0.01416243	0.005468315	0.013416694	0.011903555
AT2G39550	TuMV_CP	0.00067827286	0.0004774245	0.00048674975	0.00066417444	0.00049896276	0.00056111685
AT5G50920	TEV_VPg	0.5243264	0.73919517	0.89707315	0.48008886	0.6541185	0.65896046
