Protein1	Protein2	Mean_Score
AT5G50920	TEV_VPg	0.65896046
AT5G13930	TuMV_NIb	0.70558405
AT5G35360	TuMV_NIb	0.88789797
AT5G19550	TEV_NIa-Pro	0.72337765
AT1G28520	TuMV_NIb	0.62392414
AT2G43590	TuMV_NIb	0.8380493
ATCG00270	TEV_VPg	0.80081
AT1G72370	TEV_VPg	0.7406409
AT4G38225	CMV_Q66125	0.7400162
AT2G36250	TEV_VPg	0.7768194
AT5G54770	TEV_VPg	0.9089076
AT1G17745	TuMV_NIb	0.71680725
AT2G05100	TEV_VPg	0.85621417
AT1G24360	TuMV_NIb	0.86674803
AT5G66920	CaLCuV_Q96707	0.6320295
AT4G28190	CaLCuV_Q96706	0.54441583
AT3G08580	TEV_NIa-Pro	0.9614727
AT1G59610	TuMV_6K2	0.6247896
AT5G66920	TuMV_NIb	0.7751605
AT4G27657	CaLCuV_Q96707	0.57672805
AT1G02500	TEV_VPg	0.74013
AT5G20720	TEV_NIa-Pro	0.84585226
AT3G14415	TEV_NIa-Pro	0.7398238
AT2G02990	TuMV_NIb	0.59783256
AT1G23750	TuMV_NIb	0.7857422
AT2G13360	TuMV_NIb	0.7500702
AT1G50010	TEV_VPg	0.90222776
AT3G47470	TEV_NIa-Pro	0.95734626
