protein1	protein2	label	predict	predict_probability
AT4G02560	CaLCuV_Q96702	0	0	0.000319814047543332
AT3G15660	TEV_P3N-PIPO	0	0	0.00044933363096788526
AT3G27350	CaLCuV_Q96702	0	0	0.00030976414564065635
AT2G15560	TEV_VPg	0	0	0.001413698773831129
AT2G42660	TuMV_NIb	0	0	0.014018467627465725
AT3G49330	TuMV_CP	0	0	0.0008267250377684832
AT3G62290	TEV_NIa-Pro	0	1	0.6590092778205872
AT5G23100	CaLCuV_Q96707	0	0	0.012033031322062016
AT5G26600	CaLCuV_Q96707	0	0	0.010274035856127739
AT5G09990	TEV_NIa-Pro	0	0	0.0006841733120381832
AT5G63310	TuMV_NIb	1	1	0.6560802459716797
AT4G11140	TEV_NIa-Pro	0	0	0.0016145248664543033
AT2G13105	TEV_VPg	0	0	0.0013043240178376436
AT5G06140	TuMV_CP	0	0	0.0008429567096754909
AT3G01240	TEV_VPg	0	0	0.014703378081321716
AT5G63890	CaLCuV_Q96702	0	0	0.001279698684811592
AT5G02770	TuMV_CP	0	0	0.0013205544091761112
AT1G62530	TEV_VPg	0	0	0.0010672645876184106
AT3G11220	TuMV_6K2	0	0	0.0011187380878254771
AT3G61440	TEV_VPg	1	1	0.8948382139205933
AT1G49975	TuMV_P3	0	0	0.0017180575523525476
AT4G16280	CaLCuV_Q96706	0	0	0.054061390459537506
AT1G76952	TuMV_CP	0	0	0.0005821227096021175
AT2G24945	CaLCuV_Q96706	0	0	0.009075448848307133
AT3G33494	TEV_NIa-Pro	0	0	0.002912305761128664
AT1G02560	TEV_VPg	1	1	0.9766665101051331
AT5G06280	TEV_P3N-PIPO	0	0	0.00019668179447762668
AT5G23520	TEV_P3N-PIPO	0	0	0.0003875071706715971
AT4G20770	TEV_VPg	0	0	0.0005698263994418085
AT5G10590	TuMV_CI	0	0	0.0019243520218878984
AT1G23450	TuMV_6K1	0	0	0.0005385497352108359
AT1G21528	CaLCuV_Q96705	0	0	0.0003639752103481442
AT3G04890	CaLCuV_Q96706	0	0	0.05819819122552872
AT3G07300	TuMV_CP	0	0	0.0024971566163003445
AT1G65490	TuMV_CP	0	0	0.0004226124146953225
AT2G02820	TuMV_P3	0	0	0.0007793839322403073
AT1G50530	TuMV_CP	0	0	0.0013373366091400385
AT5G24313	TEV_NIa-Pro	0	0	0.0012818322284147143
AT1G47350	TuMV_6K2	0	0	0.0006720718811266124
AT2G01735	TuMV_NIb	0	0	0.0567195750772953
AT1G79070	PVX_P09396	0	0	0.025892021134495735
AT1G05805	TEV_P3N-PIPO	0	0	0.0014992773067206144
AT5G66595	CaLCuV_Q96702	0	0	0.0002496698871254921
AT4G17695	TuMV_P3	0	0	0.0007799366721883416
AT4G27640	TuMV_6K1	0	0	0.005602970253676176
AT3G57300	TuMV_NIb	0	0	0.18531014025211334
AT3G13130	TuMV_6K1	0	0	0.0008288140525110066
AT4G21740	TuMV_6K2	0	0	0.0009673112072050571
AT2G44820	TuMV_P3	0	0	0.0009022515150718391
AT1G72750	CaLCuV_Q96706	0	1	0.6477291584014893
AT3G46660	TEV_VPg	0	0	0.0016481979982927442
AT2G24540	TuMV_P3	0	0	0.001224018749780953
AT5G52520	TuMV_CI	0	0	0.015100267715752125
AT2G21390	TuMV_6K1	0	0	0.0019916535820811987
AT4G29380	TuMV_P3	0	0	0.0007073241285979748
AT4G12543	TuMV_NIb	0	0	0.005641469731926918
AT4G32650	TuMV_NIb	0	0	0.01771417446434498
AT1G26210	MYMIV_Q917N4	0	0	0.0017138744005933404
AT2G32730	TEV_P3N-PIPO	0	0	0.0008626632043160498
AT1G59610	TuMV_CP	1	0	0.001149579300545156
AT2G19820	TEV_P3N-PIPO	0	0	0.00034516220330260694
AT3G06970	TuMV_6K2	0	0	0.0003603862423915416
AT2G23755	TuMV_CP	0	0	0.0007792687974870205
AT3G28040	TuMV_6K1	0	0	0.0009702034294605255
AT4G01250	TEV_VPg	0	0	0.002764996374025941
AT1G20620	CMV_Q66125	1	0	0.3432064950466156
AT3G14300	TuMV_CI	0	0	0.018343044444918633
AT4G35170	TEV_NIa-Pro	0	0	0.003433587495237589
AT1G61520	TuMV_P3	0	0	0.035301629453897476
AT4G05000	TEV_NIa-Pro	0	0	0.043253764510154724
AT3G23700	TEV_P3N-PIPO	0	0	0.0004838195745833218
AT1G47720	TEV_VPg	0	0	0.0031139070633798838
AT5G60700	TEV_P3N-PIPO	0	0	0.0003268789441790432
AT3G24515	TEV_NIa-Pro	0	0	0.006488540209829807
AT2G14835	CaLCuV_Q96706	0	0	0.017294866964221
AT1G24510	TEV_P3N-PIPO	0	0	0.00857717264443636
AT3G04990	TuMV_NIb	0	0	0.002303885295987129
AT2G43810	CaLCuV_Q96707	1	0	0.13570286333560944
AT3G45320	TuMV_6K1	0	0	0.00028788315830752254
AT1G28390	CaLCuV_Q96706	0	0	0.010883714072406292
AT5G56920	TuMV_P3	0	0	0.0005184700130484998
AT2G07707	TuMV_6K2	0	0	0.0008790959836915135
AT4G04320	TEV_P3N-PIPO	0	0	0.0001788343070074916
AT1G77850	TEV_P3N-PIPO	0	0	0.00035922223469242454
AT3G18650	TuMV_P3	0	0	0.0003616698377300054
AT2G42410	CaMV_P03552	0	0	0.0012626906391233206
AT3G18710	TuMV_NIb	1	0	0.007804046384990215
AT2G26270	TuMV_6K1	0	0	0.0004651139606721699
AT5G61850	TEV_VPg	0	0	0.002434592694044113
AT3G13120	CaLCuV_Q96706	0	1	0.6123645305633545
AT1G72990	CaLCuV_Q96705	0	0	0.0004893162404187024
AT4G36195	TuMV_NIb	1	0	0.04958024621009827
AT2G31090	TuMV_6K1	0	0	0.005077716428786516
AT5G60790	TEV_P3N-PIPO	0	0	0.0015094768023118377
AT1G64130	TMV_P03586	0	0	0.002844583708792925
AT1G29380	TuMV_6K2	0	0	0.0011638724245131016
AT4G20980	TuMV_6K2	0	0	0.0027026268653571606
AT1G11820	TuMV_P3	0	0	0.0013633527560159564
AT1G53690	TEV_NIa-Pro	0	0	0.006859608460217714
AT2G43410	TuMV_CI	0	0	0.009824367240071297
AT2G48130	TEV_NIa-Pro	0	0	0.02191910520195961
AT1G24350	TEV_P3N-PIPO	0	0	0.0007531152805313468
AT3G07690	TuMV_CP	0	0	0.0006808540783822536
AT5G02510	TEV_VPg	0	0	0.0006845424068160355
AT5G50230	TEV_P3N-PIPO	0	0	0.0004448268737178296
AT4G24380	CaLCuV_Q96706	0	0	0.008082456886768341
AT1G64510	TEV_P3N-PIPO	0	0	0.0005595247494056821
AT5G51380	TEV_NIa-Pro	0	0	0.0025130240246653557
AT5G37570	CaLCuV_Q96702	0	0	0.000362466525984928
AT4G23950	TuMV_NIb	0	0	0.13753600418567657
AT5G49950	TuMV_CP	0	0	0.0006371648050844669
AT3G44620	TuMV_NIb	1	0	0.42502284049987793
AT1G29460	TEV_NIa-Pro	0	0	0.0013053922448307276
AT1G19410	TuMV_P3	0	0	0.0014177083503454924
AT4G10925	TuMV_NIb	0	0	0.16451971232891083
AT5G63700	TuMV_NIb	0	0	0.021450743079185486
AT2G04025	TuMV_P3	0	0	0.0014230614760890603
AT5G21930	TuMV_CI	0	0	0.04612857475876808
AT2G18410	TuMV_CI	0	0	0.005964270792901516
AT3G59080	TEV_NIa-Pro	0	0	0.023577071726322174
AT5G64710	TuMV_P3	0	0	0.0007329928339459002
AT4G22467	TuMV_6K1	0	0	0.0013205097056925297
AT3G25930	TEV_VPg	0	0	0.003786450019106269
AT4G32670	TEV_NIa-Pro	0	0	0.003042850410565734
AT5G02020	TuMV_NIb	1	0	0.1352219432592392
AT5G06240	TuMV_CP	0	0	0.00044173497008159757
AT1G30070	TuMV_CI	1	0	0.13465172052383423
AT5G24690	TuMV_P3	0	0	0.002451798412948847
AT5G01420	CaLCuV_Q96706	0	0	0.004551366902887821
AT1G49340	CaLCuV_Q96707	0	0	0.053618837147951126
AT4G20980	TuMV_CI	0	0	0.010909662581980228
AT1G47410	TuMV_6K1	0	0	0.00031815055990591645
AT5G26160	TuMV_NIb	0	0	0.018531598150730133
AT2G18660	TEV_VPg	1	0	0.045206885784864426
AT5G49110	TuMV_P3	0	0	0.00112152099609375
AT4G08868	TuMV_6K2	0	0	0.0007845418294891715
AT2G36720	CaLCuV_Q96707	0	0	0.004626423120498657
AT3G20900	TEV_NIa-Pro	0	0	0.0016144809778779745
AT1G07060	TuMV_NIb	0	0	0.023765139281749725
AT1G30120	TEV_VPg	0	0	0.1447080820798874
AT1G55945	CaLCuV_Q96702	0	0	0.00027837048401124775
AT5G50010	TEV_NIa-Pro	0	0	0.0021883193403482437
AT5G45573	TuMV_6K1	0	0	0.0006445941980928183
AT5G42890	TuMV_6K1	0	0	0.06840084493160248
AT4G19610	TEV_NIa-Pro	0	0	0.004414340481162071
AT3G04930	TuMV_6K1	0	0	0.0007383651682175696
AT2G32990	TuMV_NIb	1	0	0.43267822265625
AT2G20390	TuMV_CI	0	0	0.030085952952504158
AT5G06590	CaLCuV_Q96707	0	0	0.007450491655617952
AT4G28025	TuMV_NIb	0	0	0.24143241345882416
AT1G13755	CaLCuV_Q96706	0	0	0.0023674885742366314
AT1G54790	TEV_P3N-PIPO	0	0	0.0003513064584694803
AT3G07510	TEV_P3N-PIPO	0	0	0.0007161514367908239
AT3G04903	CMV_Q66125	0	0	0.006739689037203789
AT1G05360	TEV_NIa-Pro	0	0	0.0070249587297439575
AT1G63750	TuMV_NIb	0	0	0.003544594394043088
AT5G17230	TEV_P3N-PIPO	0	0	0.0003846626204904169
AT5G47170	TuMV_6K2	0	0	0.00042682202183641493
AT5G53710	TuMV_CI	0	0	0.0005873598856851459
AT1G16790	TuMV_P3	0	0	0.0015116616850718856
AT1G76570	TEV_P3N-PIPO	0	0	0.00027338237850926816
AT1G05385	TEV_VPg	0	0	0.06082136183977127
AT2G33880	TEV_P3N-PIPO	0	0	0.0006641776417382061
AT5G61510	TuMV_CI	0	0	0.029158012941479683
AT5G36710	TuMV_CP	0	0	0.001019878312945366
AT3G63170	TEV_NIa-Pro	0	0	0.07589193433523178
AT4G37740	TuMV_NIb	0	0	0.07617640495300293
AT5G48820	CMV_Q66125	0	0	0.010115724056959152
AT4G04605	TuMV_6K2	0	0	0.00041261143633164465
AT2G41900	TuMV_NIb	0	0	0.18042273819446564
AT5G28462	TuMV_NIb	0	0	0.006687356624752283
AT2G38000	TEV_VPg	0	0	0.003343939548358321
AT5G36210	TuMV_6K2	0	0	0.001159339095465839
AT5G18910	CaLCuV_Q96702	0	0	0.00037441920721903443
AT2G02860	CaMV_P03555	0	0	0.0059060752391815186
AT5G19180	TEV_P3N-PIPO	0	0	0.00085626938380301
AT4G33550	TuMV_CI	0	0	0.008607828989624977
AT3G14850	TEV_NIa-Pro	0	0	0.08109364658594131
ATCG00020	TEV_NIa-Pro	1	1	0.9638407826423645
AT5G54660	TuMV_6K1	0	0	0.0009896797128021717
AT1G79540	TEV_VPg	0	0	0.0008640489540994167
AT1G80420	CaLCuV_Q96706	0	0	0.012295347638428211
AT3G04760	TuMV_P3	0	0	0.0004087425477337092
AT5G28640	TEV_NIa-Pro	0	0	0.03360515832901001
AT3G25410	TEV_P3N-PIPO	0	0	0.0018627084791660309
AT1G30040	CaLCuV_Q96706	0	0	0.05999785289168358
AT3G09800	TEV_NIa-Pro	0	0	0.008950102142989635
AT2G27350	TuMV_CI	0	0	0.014684641733765602
AT1G80710	CaLCuV_Q96705	0	0	0.0007400237955152988
AT5G07740	TEV_NIa-Pro	0	0	0.00980883464217186
AT2G30100	TuMV_P3	0	0	0.0003960423346143216
AT5G57230	TuMV_NIb	0	0	0.03543633222579956
AT4G14050	TEV_VPg	0	0	0.0011184611357748508
AT3G26147	CaLCuV_Q96705	0	0	0.0004043126536998898
AT5G20380	TGMV_P03562	0	0	0.015255268663167953
AT2G26100	TEV_P3N-PIPO	0	0	0.00040787941543385386
AT5G01010	TuMV_6K2	0	0	0.0003520144964568317
AT5G22830	CMV_Q66125	0	0	0.08754854649305344
AT1G60730	TuMV_P3	0	0	0.0047821118496358395
AT3G12590	TuMV_6K2	0	0	0.0010632226476445794
AT2G40080	CaLCuV_Q96705	0	0	0.0015153534477576613
AT3G26700	TuMV_NIb	0	0	0.17614257335662842
AT5G49480	TuMV_6K1	0	0	0.005813052412122488
AT2G44760	TEV_P3N-PIPO	0	0	0.0017999489791691303
AT2G17410	TuMV_6K1	0	0	0.000866916379891336
AT2G19050	TuMV_NIb	1	0	0.1687098741531372
AT1G30840	TuMV_6K2	0	0	0.002222665585577488
AT5G19760	TEV_VPg	1	0	0.30762165784835815
AT3G02550	CaLCuV_Q96702	0	0	0.0009130807593464851
AT5G48870	TEV_VPg	0	0	0.305180162191391
AT1G10890	TYLCV_Q764F6	0	0	0.002949180081486702
AT3G11630	TEV_NIa-Pro	1	1	0.8970075249671936
AT1G61160	TuMV_NIb	0	0	0.006387655157595873
AT5G25190	TuMV_NIb	1	0	0.20124024152755737
AT1G09770	TuMV_NIb	0	0	0.13998746871948242
AT4G13400	TuMV_CI	0	0	0.010303178802132607
AT2G28840	TEV_P3N-PIPO	0	0	0.0002739819756243378
AT1G66345	TuMV_P3	0	0	0.0005386367556639016
AT3G56450	TEV_NIa-Pro	0	0	0.005104063544422388
AT3G11100	CaLCuV_Q96706	0	0	0.03390207886695862
AT5G03905	TEV_NIa-Pro	0	0	0.03599868342280388
AT2G04540	TEV_NIa-Pro	0	0	0.025726839900016785
AT1G56530	TuMV_P3	0	0	0.0007898362819105387
AT5G50920	TEV_P3N-PIPO	0	0	0.0005358647904358804
AT3G48570	TuMV_6K2	0	0	0.008514180779457092
AT2G02147	TuMV_P3	0	0	0.001622675801627338
AT1G62850	TuMV_CI	0	0	0.13018712401390076
AT4G13780	TuMV_CI	0	0	0.011049475520849228
AT2G03840	BCTV_Q91J26	0	0	0.0035447494592517614
AT4G36980	CMV_Q66125	1	0	0.04405020549893379
AT1G79080	TEV_VPg	0	0	0.0014376266626641154
AT3G12400	TEV_P3N-PIPO	0	0	0.00041511666495352983
AT3G01850	TEV_NIa-Pro	0	1	0.8105339407920837
AT3G54720	TuMV_NIb	0	0	0.07106926292181015
AT4G30420	TuMV_CP	0	0	0.0017133100191131234
AT5G24090	TuMV_CI	0	0	0.34490734338760376
AT2G43450	TGMV_P03562	0	0	0.0031800733413547277
AT3G44020	TuMV_CI	0	0	0.05218106135725975
AT3G11870	TuMV_CI	0	0	0.0014190307119861245
AT3G62670	TuMV_NIb	0	0	0.0038029979914426804
AT1G62480	TEV_VPg	0	0	0.007541039492934942
AT1G51960	TuMV_NIb	0	0	0.056703876703977585
AT1G70610	CMV_P03605	0	0	0.006317599676549435
AT1G18640	TuMV_6K1	0	0	0.001463020220398903
AT2G10455	TEV_VPg	0	0	0.0014345345553010702
AT1G08840	TuMV_CP	0	0	0.00044534364133141935
AT2G28220	TuMV_CI	0	0	0.02543705888092518
AT3G57430	TuMV_NIb	0	0	0.007096052169799805
AT5G01500	TuMV_6K1	0	0	0.0011003646068274975
AT2G35540	TuMV_CP	0	0	0.00036713670124299824
AT1G09760	TuMV_NIb	0	0	0.4478490650653839
AT1G19620	TEV_P3N-PIPO	0	0	0.00023542992130387574
AT1G54420	CaLCuV_Q96705	0	0	0.0005765001988038421
AT2G18000	TuMV_CP	0	0	0.000664699065964669
AT5G21430	CaMV_P13218	0	0	0.02571684867143631
AT2G18465	TuMV_CI	0	0	0.006580310873687267
AT5G64770	TuMV_CI	0	0	0.002816982800140977
AT2G20060	TEV_VPg	0	0	0.09247525036334991
AT3G50370	CaLCuV_Q96707	0	0	0.1691053807735443
AT4G19540	TEV_P3N-PIPO	0	0	0.00022326494217850268
AT4G39610	TEV_VPg	0	0	0.006943035405129194
AT5G10200	TEV_VPg	0	0	0.0007539740763604641
AT2G07728	TuMV_P3	0	0	0.0004241802089381963
AT3G59450	TuMV_6K2	0	0	0.0005557696567848325
AT5G21170	TuMV_6K1	0	0	0.0011131241917610168
AT4G19170	TEV_VPg	0	0	0.08624013513326645
AT5G03795	TuMV_P3	0	0	0.0011330669512972236
AT1G62840	TuMV_NIb	0	0	0.021948954090476036
AT5G55650	CaMV_P03555	0	0	0.001424563815817237
AT1G49430	TuMV_NIb	1	0	0.1954437792301178
AT5G36960	TuMV_P3	0	0	0.00026269000954926014
AT4G14270	TuMV_CP	0	0	0.00034671969478949904
AT2G33290	TGMV_P03562	1	0	0.04873271286487579
AT5G20310	PVX_P09396	0	0	0.008132517337799072
AT5G66120	TuMV_NIb	1	0	0.2682586908340454
AT4G08980	TuMV_NIb	0	0	0.03803461417555809
AT2G16060	TuMV_CP	0	0	0.007730134297162294
AT1G19180	CaLCuV_Q96702	0	0	0.001507309963926673
AT5G57360	CaLCuV_Q96705	0	0	0.0005244421190582216
AT1G08770	TEV_VPg	0	0	0.005967401433736086
AT4G12570	TuMV_P3	0	0	0.00038710766239091754
AT3G15740	TEV_P3N-PIPO	0	0	0.0002976603282149881
AT4G36020	TEV_NIa-Pro	1	0	0.027678973972797394
AT4G08545	TEV_P3N-PIPO	0	0	0.00018646723765414208
AT3G03340	TuMV_CI	0	0	0.01223988551646471
AT2G46990	TuMV_6K1	0	0	0.005096574779599905
AT5G47060	TEV_NIa-Pro	0	0	0.001859596581198275
AT3G26744	TEV_P3N-PIPO	0	0	0.0010730987414717674
AT4G00695	CaLCuV_Q96702	0	0	0.00021384164574556053
AT2G44360	TEV_P3N-PIPO	0	0	0.00033069582423195243
AT4G22630	TEV_VPg	0	0	0.0008965826127678156
AT1G45170	TuMV_CI	0	0	0.06615707278251648
AT3G61750	TuMV_6K1	0	0	0.0005578736891038716
AT1G01453	CaLCuV_Q96707	0	0	0.0720427930355072
AT2G03320	TuMV_6K2	0	0	0.00029813009314239025
AT2G34640	TuMV_CI	0	0	0.02443167380988598
AT5G19760	TuMV_CP	0	0	0.04275395721197128
AT3G48880	TEV_VPg	0	0	0.0011304864892736077
AT5G40760	TuMV_CI	1	0	0.09045818448066711
AT4G27540	TuMV_6K2	0	0	0.002715993905439973
AT1G42710	TEV_P3N-PIPO	0	0	0.0010414558928459883
AT5G64450	CMV_Q66125	0	0	0.0071885487996041775
AT1G80165	TuMV_CI	0	0	0.0035695880651474
AT5G02430	TuMV_CI	0	0	0.007635400164872408
AT4G07350	TuMV_P3	0	0	0.0004973760806024075
AT5G04150	TuMV_6K2	0	0	0.0006385085871443152
AT1G04260	TuMV_6K2	0	0	0.0025878094602376223
AT1G17130	TuMV_CI	0	0	0.01218457892537117
AT5G61550	TEV_P3N-PIPO	0	0	0.00022138978238217533
AT5G23300	TuMV_NIb	0	0	0.19531971216201782
AT4G19006	TuMV_6K1	0	0	0.0011148565681651235
AT5G18404	TuMV_P3	0	0	0.0007945286342874169
AT1G69250	TMV_P69687	0	0	0.0017806750256568193
AT2G27200	TuMV_NIb	1	0	0.12248889356851578
AT2G30990	TuMV_NIb	0	0	0.011913523077964783
AT1G76680	TuMV_NIb	0	1	0.7017343640327454
AT2G20921	CaLCuV_Q96705	0	0	0.0005136065883561969
AT5G11030	TEV_VPg	0	0	0.007234969176352024
AT4G22650	TEV_VPg	0	0	0.0010294331004843116
AT3G01960	TEV_P3N-PIPO	0	0	0.0007623487617820501
AT4G03180	TEV_P3N-PIPO	0	0	0.0004303295281715691
AT2G42750	TuMV_6K1	0	0	0.0021121236495673656
AT1G54620	TEV_VPg	0	0	0.0019831000827252865
AT1G54630	TuMV_6K2	0	0	0.0077818287536501884
AT2G46910	TuMV_6K1	0	0	0.001772940857335925
AT3G04650	TEV_P3N-PIPO	0	0	0.0003737854422070086
AT5G50990	TEV_VPg	0	0	0.001169483526609838
AT5G15780	BCTV_P14984	0	0	0.005160695407539606
AT5G16750	TEV_NIa-Pro	0	0	0.00561902392655611
AT2G07625	TuMV_6K2	0	0	0.0008925096481107175
AT5G19620	TEV_VPg	0	0	0.02286337874829769
AT5G38360	TuMV_P3	0	0	0.001122482935898006
AT3G51590	CaLCuV_Q96707	1	1	0.6083418130874634
